"filename", "language", "Markdown", "YAML", "Dart", "JSON", "Properties", "Groovy", "C++", "Swift", "XML", "HTML", "comment", "blank", "total"
"/Users/icestorm/Desktop/bvu_dormitory/lib/app/locales/app_vi.arb", "JSON", 0, 0, 0, 208, 0, 0, 0, 0, 0, 0, 0, 48, 256
"/Users/icestorm/Desktop/bvu_dormitory/lib/base/base.controller.dart", "Dart", 0, 0, 219, 0, 0, 0, 0, 0, 0, 0, 5, 26, 250
"/Users/icestorm/Desktop/bvu_dormitory/lib/base/base.firestore.model.dart", "Dart", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/icestorm/Desktop/bvu_dormitory/lib/base/base.firestore.repo.dart", "Dart", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"/Users/icestorm/Desktop/bvu_dormitory/lib/base/base.screen.dart", "Dart", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 12, 11, 77
"/Users/icestorm/Desktop/bvu_dormitory/lib/helpers/extensions/navigator.extensions.dart", "Dart", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/icestorm/Desktop/bvu_dormitory/lib/helpers/extensions/string.extensions.dart", "Dart", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/icestorm/Desktop/bvu_dormitory/lib/helpers/extensions/user.extensions.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"/Users/icestorm/Desktop/bvu_dormitory/lib/helpers/validators/string.validator.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/icestorm/Desktop/bvu_dormitory/lib/main.dart", "Dart", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 6, 14, 58
"/Users/icestorm/Desktop/bvu_dormitory/lib/models/building.dart", "Dart", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 6, 32
"/Users/icestorm/Desktop/bvu_dormitory/lib/models/floor.dart", "Dart", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24
"/Users/icestorm/Desktop/bvu_dormitory/lib/models/invoice.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/icestorm/Desktop/bvu_dormitory/lib/models/item.dart", "Dart", 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 6, 14, 87
"/Users/icestorm/Desktop/bvu_dormitory/lib/models/room.dart", "Dart", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 1, 6, 28
"/Users/icestorm/Desktop/bvu_dormitory/lib/models/service.dart", "Dart", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 2, 8, 42
"/Users/icestorm/Desktop/bvu_dormitory/lib/models/user.dart", "Dart", 0, 0, 135, 0, 0, 0, 0, 0, 0, 0, 14, 24, 173
"/Users/icestorm/Desktop/bvu_dormitory/lib/repositories/auth.repository.dart", "Dart", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 4, 9, 57
"/Users/icestorm/Desktop/bvu_dormitory/lib/repositories/building.repository.dart", "Dart", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 13, 8, 54
"/Users/icestorm/Desktop/bvu_dormitory/lib/repositories/item.repository.dart", "Dart", 0, 0, 135, 0, 0, 0, 0, 0, 0, 0, 9, 20, 164
"/Users/icestorm/Desktop/bvu_dormitory/lib/repositories/room.repository.dart", "Dart", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 1, 8, 49
"/Users/icestorm/Desktop/bvu_dormitory/lib/repositories/service.repository.dart", "Dart", 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 2, 16, 83
"/Users/icestorm/Desktop/bvu_dormitory/lib/repositories/student.repository.dart", "Dart", 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 1, 13, 64
"/Users/icestorm/Desktop/bvu_dormitory/lib/repositories/user.repository.dart", "Dart", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 1, 8, 38
"/Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/home/home.controller.dart", "Dart", 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 9, 10, 79
"/Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/home/home.screen.dart", "Dart", 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 16, 9, 89
"/Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/buildings/buildings.controller.dart", "Dart", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 8, 34
"/Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/buildings/buildings.screen.dart", "Dart", 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 9, 62
"/Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/buildings/search/buildings.search.controller.dart", "Dart", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/buildings/search/buildings.search.screen.dart", "Dart", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 6, 30
"/Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/buildings/widgets/buildings.body.dart", "Dart", 0, 0, 149, 0, 0, 0, 0, 0, 0, 0, 4, 14, 167
"/Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/items/groups/detail/items.groups.detail.controller.dart", "Dart", 0, 0, 257, 0, 0, 0, 0, 0, 0, 0, 26, 20, 303
"/Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/items/groups/detail/items.groups.detail.screen.dart", "Dart", 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 1, 16, 107
"/Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/items/groups/items.groups.controller.dart", "Dart", 0, 0, 218, 0, 0, 0, 0, 0, 0, 0, 6, 17, 241
"/Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/items/groups/items.groups.screen.dart", "Dart", 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 1, 15, 98
"/Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/items/items.controller.dart", "Dart", 0, 0, 160, 0, 0, 0, 0, 0, 0, 0, 6, 17, 183
"/Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/items/items.screen.dart", "Dart", 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 1, 14, 95
"/Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/manage.controller.dart", "Dart", 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 8, 79
"/Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/manage.screen.dart", "Dart", 0, 0, 141, 0, 0, 0, 0, 0, 0, 0, 15, 9, 165
"/Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/rooms/detail/images/rooms.detail.images.body.dart", "Dart", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 12, 10, 69
"/Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/rooms/detail/images/rooms.detail.images.controller.dart", "Dart", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 6, 29
"/Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/rooms/detail/images/rooms.detail.images.screen.dart", "Dart", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 1, 9, 55
"/Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/rooms/detail/invoices/rooms.detail.invoices.controller.dart", "Dart", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/rooms/detail/invoices/rooms.detail.invoices.screen.dart", "Dart", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 6, 51
"/Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/rooms/detail/items/rooms.detail.items.controller.dart", "Dart", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/rooms/detail/items/rooms.detail.items.screen.dart", "Dart", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 6, 25
"/Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/rooms/detail/rooms.detail.controller.dart", "Dart", 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 10, 13, 127
"/Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/rooms/detail/rooms.detail.screen.dart", "Dart", 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 12, 85
"/Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/rooms/detail/services/rooms.detail.services.controller.dart", "Dart", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 2, 6, 55
"/Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/rooms/detail/services/rooms.detail.services.screen.dart", "Dart", 0, 0, 99, 0, 0, 0, 0, 0, 0, 0, 2, 13, 114
"/Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/rooms/detail/students/add/rooms.details.students.add.controller.dart", "Dart", 0, 0, 484, 0, 0, 0, 0, 0, 0, 0, 20, 49, 553
"/Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/rooms/detail/students/add/rooms.details.students.add.screen.dart", "Dart", 0, 0, 431, 0, 0, 0, 0, 0, 0, 0, 7, 29, 467
"/Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/rooms/detail/students/rooms.detail.students.controller.dart", "Dart", 0, 0, 254, 0, 0, 0, 0, 0, 0, 0, 3, 18, 275
"/Users/icestorm/Desktop/bvu_dormitory/lib/screens/admin/manage/rooms/detail/students/rooms.detail.students.screen.dart", "Dart", 0, 0, 113, 0, 0, 0, 0, 0, 0, 0, 0, 13, 126
